dog_id,oc_primary_census_division__1.0,oc_primary_census_division__2.0,oc_primary_census_division__3.0,oc_primary_census_division__4.0,oc_primary_census_division__5.0,oc_primary_census_division__6.0,oc_primary_census_division__7.0,oc_primary_census_division__8.0,oc_primary_census_division__9.0
83352,False,True,False,False,False,False,False,False,False
77404,False,False,False,False,False,False,False,True,False
42691,False,False,False,True,False,False,False,False,False
62801,False,False,False,False,False,False,False,False,True
61524,False,False,False,False,False,False,False,False,True
64635,True,False,False,False,False,False,False,False,False
95151,False,False,False,False,False,False,False,True,False
28064,False,False,False,False,False,False,False,True,False
66178,False,False,True,False,False,False,False,False,False
88379,False,False,False,False,True,False,False,False,False
4503,False,False,False,False,False,False,False,False,True
40879,False,False,False,False,False,False,False,False,True
87947,False,False,False,False,False,True,False,False,False
87690,True,False,False,False,False,False,False,False,False
92999,False,False,True,False,False,False,False,False,False
79804,False,False,True,False,False,False,False,False,False
50377,False,False,False,False,True,False,False,False,False
76065,False,False,True,False,False,False,False,False,False
74929,False,False,False,False,False,False,False,False,True
102714,False,False,False,False,False,False,False,True,False
16154,False,False,False,False,True,False,False,False,False
57419,False,False,False,False,False,False,True,False,False
15104,False,False,False,False,True,False,False,False,False
233,False,False,False,False,False,False,False,False,True
26157,False,False,False,False,True,False,False,False,False
92296,False,False,False,False,False,False,False,True,False
12864,False,False,False,False,True,False,False,False,False
94578,False,False,False,False,True,False,False,False,False
102086,False,False,False,False,False,False,True,False,False
3105,False,False,False,False,False,False,False,True,False
8162,False,False,True,False,False,False,False,False,False
1852,False,False,False,False,False,False,False,False,True
29644,False,False,False,False,True,False,False,False,False
83175,False,False,False,False,False,False,False,True,False
6880,False,False,True,False,False,False,False,False,False
53040,False,True,False,False,False,False,False,False,False
40933,True,False,False,False,False,False,False,False,False
85173,False,False,False,False,False,False,True,False,False
82464,False,False,True,False,False,False,False,False,False
87441,False,False,False,False,False,False,False,False,True
7023,True,False,False,False,False,False,False,False,False
81717,False,False,False,False,False,False,False,False,True
83340,False,True,False,False,False,False,False,False,False
21602,False,False,False,False,False,False,True,False,False
16001,False,False,False,False,False,False,False,False,True
11166,False,False,False,True,False,False,False,False,False
71254,False,False,True,False,False,False,False,False,False
79687,False,False,True,False,False,False,False,False,False
66,False,False,True,False,False,False,False,False,False
30753,False,False,False,True,False,False,False,False,False
50326,False,False,False,False,False,False,False,True,False
68940,True,False,False,False,False,False,False,False,False
76061,False,False,True,False,False,False,False,False,False
79383,False,False,False,False,False,False,False,False,True
2287,False,False,False,False,True,False,False,False,False
92577,False,False,False,False,False,False,True,False,False
85835,False,False,False,True,False,False,False,False,False
35796,False,False,False,False,False,False,False,False,True
14449,False,True,False,False,False,False,False,False,False
62250,False,False,False,False,False,False,False,False,True
22504,False,False,False,False,False,False,True,False,False
13873,False,False,False,True,False,False,False,False,False
97737,True,False,False,False,False,False,False,False,False
69292,False,True,False,False,False,False,False,False,False
41882,False,False,True,False,False,False,False,False,False
25921,False,True,False,False,False,False,False,False,False
60399,False,False,True,False,False,False,False,False,False
81851,False,False,True,False,False,False,False,False,False
22556,False,False,False,True,False,False,False,False,False
63330,False,False,False,False,False,True,False,False,False
87835,True,False,False,False,False,False,False,False,False
91022,False,False,False,False,True,False,False,False,False
38188,False,False,False,False,False,False,False,False,True
32899,False,False,False,False,False,False,False,False,True
95758,False,False,False,False,False,False,False,False,True
24386,False,True,False,False,False,False,False,False,False
65585,False,False,False,False,False,False,False,False,True
37601,False,True,False,False,False,False,False,False,False
