dog_id,breed_type_Ancient and Spitz,breed_type_Herding dogs,breed_type_Mastiff-Like,breed_type_Mixed,breed_type_Retriever,breed_type_Scent Hounds,breed_type_Spaniels,breed_type_Terriers,breed_type_Toy dogs,breed_type_Working dogs
98656,False,False,False,False,False,False,False,False,True,False
90391,False,False,True,False,False,False,False,False,False,False
3476,True,False,False,False,False,False,False,False,False,False
20897,False,False,True,False,False,False,False,False,False,False
42137,False,True,False,False,False,False,False,False,False,False
80393,False,True,False,False,False,False,False,False,False,False
91490,False,True,False,False,False,False,False,False,False,False
31125,True,False,False,False,False,False,False,False,False,False
95384,False,False,True,False,False,False,False,False,False,False
60016,False,False,False,False,False,False,False,True,False,False
54244,False,False,False,False,False,False,True,False,False,False
55230,False,True,False,False,False,False,False,False,False,False
42675,False,False,False,False,False,False,False,True,False,False
83352,False,False,False,False,False,False,False,False,False,True
77404,False,False,False,False,False,False,False,False,False,True
42691,False,False,False,False,True,False,False,False,False,False
62801,False,False,True,False,False,False,False,False,False,False
61524,False,False,False,False,False,False,False,False,False,True
64635,False,False,True,False,False,False,False,False,False,False
95151,False,True,False,False,False,False,False,False,False,False
28064,True,False,False,False,False,False,False,False,False,False
66178,False,False,False,False,True,False,False,False,False,False
88379,False,False,False,False,False,False,False,False,False,True
4503,False,False,False,False,False,False,False,False,True,False
40879,False,False,False,False,False,False,False,True,False,False
87947,False,True,False,False,False,False,False,False,False,False
87690,False,False,False,False,False,False,True,False,False,False
92999,False,False,False,False,False,False,False,False,False,True
79804,False,False,False,False,False,False,False,False,False,True
50377,False,False,False,False,False,False,False,False,False,True
76065,False,False,False,False,False,False,False,True,False,False
74929,False,False,False,False,False,False,False,False,False,True
102714,False,False,False,False,False,False,False,False,False,True
16154,False,False,False,True,False,False,False,False,False,False
57419,False,False,False,False,False,False,False,False,False,True
15104,False,False,True,False,False,False,False,False,False,False
233,False,True,False,False,False,False,False,False,False,False
26157,False,False,False,False,True,False,False,False,False,False
92296,False,False,True,False,False,False,False,False,False,False
12864,False,False,True,False,False,False,False,False,False,False
94578,False,False,True,False,False,False,False,False,False,False
102086,False,False,True,False,False,False,False,False,False,False
3105,False,False,True,False,False,False,False,False,False,False
8162,False,False,False,False,False,False,False,False,False,True
1852,False,False,False,False,True,False,False,False,False,False
29644,False,False,False,False,True,False,False,False,False,False
