Breed Type;Sub Breed;Breed Group;Breed
Working dogs;Non-sport;Working dogs - Non-sport;Poodle - Toy
Working dogs;Non-sport;Working dogs - Non-sport;Poodle (Toy)
Working dogs;Non-sport;Working dogs - Non-sport;Portuguese Water Dog
Working dogs;Non-sport;Working dogs - Non-sport;Portuguese Water Dog Mix
Working dogs;Non-sport;Working dogs - Non-sport;Spanish Water Dog
Working dogs;Other;Shepherd;Black Mouth Cur
Working dogs;Other;Shepherd;Mountain Cur
Working dogs;Other;Shepherd;Schnoodle
Working dogs;Shepherd;Shepherd;Alsatian
Working dogs;Shepherd;Shepherd;American Tundra Shepherd
Working dogs;Shepherd;Shepherd;Belgian Shepherd Groenendael
Working dogs;Shepherd;Shepherd;Belgian Shepherd Laekenois
Working dogs;Shepherd;Shepherd;Belgian Laekenois
Working dogs;Shepherd;Shepherd;Belgian Shepherd Malinois
Working dogs;Shepherd;Shepherd;Belgian Malinois
Working dogs;Shepherd;Shepherd;Belgian Shepherd
Working dogs;Shepherd;Shepherd;Belgian Sheepdog
Working dogs;Shepherd;Shepherd;Belgian Shepherd Mix
Working dogs;Shepherd;Shepherd;Belgian Shepherd Tervuren
Working dogs;Shepherd;Shepherd;Belgian Tervuren
Working dogs;Shepherd;Shepherd;Bergamasco
Working dogs;Shepherd;Shepherd;Berger Blanc Swiss
Working dogs;Shepherd;Shepherd;Berger Blanc Suisse
Working dogs;Shepherd;Shepherd;Berger Picard
Working dogs;Shepherd;Shepherd;Bouvier Des Flandres
Working dogs;Shepherd;Shepherd;Bouvier des Flandres
Working dogs;Shepherd;Shepherd;Bouvier Des Flandres Mix
Working dogs;Shepherd;Shepherd;Briard
Working dogs;Shepherd;Shepherd;Chinook
Working dogs;Shepherd;Shepherd;German Pinscher
Working dogs;Shepherd;Shepherd;German Shepherd
Working dogs;Shepherd;Shepherd;German Shepherd Dog
Working dogs;Shepherd;Shepherd;German Shepherd Mix
Working dogs;Shepherd;Shepherd;Hovawart
Working dogs;Shepherd;Shepherd;Malinois
Working dogs;Shepherd - Other;Shepherd;American White Shepherd
Working dogs;Shepherd - Other;Shepherd;Beauceron
Working dogs;Shepherd - Other;Shepherd;Blue Lacy
Working dogs;Shepherd - Other;Shepherd;Blue Lacey
Working dogs;Shepherd - Other;Shepherd;Caucasian Ovtcharka
Working dogs;Shepherd - Other;Shepherd;Caucasian Shepherd Dog
Working dogs;Shepherd - Other;Shepherd;Central Asian Ovtcharka
Working dogs;Shepherd - Other;Shepherd;Central Asian Shepherd Dog
Working dogs;Shepherd - Other;Shepherd;Dutch Shepherd
Working dogs;Shepherd - Other;Shepherd;Groenendael
Working dogs;Shepherd - Other;Shepherd;King Shepherd
Working dogs;Shepherd - Other;Shepherd;Sarplaninac
Working dogs;Shepherd - Other;Shepherd;Shiloh Shepherd
Working dogs;Shepherd - Other;Shepherd;shiloh shepherd
Working dogs;Shepherd - Other;Shepherd;Shiloh Shepherd Mix
Working dogs;Shepherd - Other;Shepherd;Tervuren
